NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score
638.0213,393.96436,0.9739145,643.0863,378.74487,0.98354685,638.3444,380.09412,0.9428948,674.7518,378.1546,0.9639102,689.46277,378.64062,0.7370877,693.02423,447.2699,0.96404266,734.85785,444.84778,0.911322,642.9286,562.48444,0.982664,698.4255,557.5535,0.5494609,551.117,565.0815,1.0035856,587.393,557.03705,0.68918765,716.05194,640.4797,0.8188844,753.7424,637.23773,0.80041873,712.4018,815.8182,0.92642784,730.15594,815.0201,0.90040076,717.722,970.3715,0.90606314,726.63324,963.86725,0.92180306
638.04944,394.08112,0.97534406,643.14124,378.99042,0.98502964,638.39417,380.36267,0.94682074,674.73987,378.27386,0.9663316,689.3865,378.72412,0.7402395,692.7859,447.088,0.96388245,734.1057,443.88336,0.91223514,642.62585,562.507,0.97942466,718.0321,559.1373,0.55767876,551.2656,564.7487,0.998775,591.3063,558.7781,0.60959363,715.9491,639.9607,0.8321998,753.75354,636.97485,0.80840003,712.30994,813.38513,0.9365794,730.08057,813.447,0.90348077,718.0481,968.781,0.889005,726.0123,963.03345,0.94029266
630.37415,393.69238,0.9869053,635.8449,377.99988,0.9777162,631.7643,379.8288,0.9413005,667.7469,378.49493,0.9637452,680.84955,378.7198,0.75938207,687.0634,447.62708,0.9711044,730.37164,442.62555,0.935232,650.1092,561.0656,1.0056882,734.64716,551.2963,0.72992396,560.4073,586.122,1.0232496,678.5004,587.92365,0.55046904,716.76776,637.4028,0.8414588,757.31866,634.6883,0.8119501,709.8962,809.00836,0.91378665,728.9776,808.49493,0.9077796,717.36163,968.96173,0.92146,725.4882,960.5367,0.96144783
621.87146,394.3127,1.0056499,627.6919,379.42062,0.9854374,622.4767,380.19156,0.93679154,660.9447,380.92142,1.013566,673.6572,379.5994,0.8346019,681.9282,448.79916,0.9235469,721.86426,443.06772,0.90895516,665.11914,557.92114,0.959141,710.605,561.5729,0.8590213,586.579,615.47705,0.9644026,644.55786,610.28394,0.82345074,720.5403,636.7593,0.85977435,757.95447,633.147,0.8003342,709.9971,810.0856,0.9112733,732.13904,808.8882,0.92597294,716.19385,970.8779,0.9227564,726.8474,961.901,0.9253454
613.2408,401.17236,0.9995886,619.72473,386.2279,0.9550884,614.4178,388.09564,0.93723845,651.76086,386.11725,0.9871582,662.39325,386.23267,0.75325406,671.1103,453.5077,0.941846,712.8255,443.66382,0.94825834,679.5601,561.8066,0.97871953,723.4438,567.67395,0.71041596,617.9805,658.25745,0.9081869,677.3205,641.8905,0.91966844,724.3477,640.5476,0.8779343,761.3444,636.0383,0.7908957,706.9202,814.5348,0.92790145,730.9875,812.6571,0.9251746,715.4532,972.7385,0.8779793,727.3708,963.6116,0.9193031
600.7833,407.51163,0.992688,607.6019,393.04666,1.001421,602.19727,393.82333,0.93176466,640.7213,394.70065,0.99545956,652.3334,392.40012,0.795259,667.18884,461.41916,0.9273003,703.7722,450.82285,0.9195038,696.3917,580.30115,0.9514816,744.4928,560.7125,0.7212931,678.8508,683.7373,0.9856795,742.5962,636.2683,0.3446715,734.4055,639.2544,0.82725465,765.5609,634.3783,0.7958509,703.68787,810.05615,0.95645094,729.4468,808.8047,0.9257495,715.5624,971.86743,0.8975779,726.7709,963.92847,0.90097755
591.1964,421.05066,0.9987533,596.96405,406.28455,0.9416499,592.2741,407.5965,0.90411216,629.31,407.9734,0.99627614,643.84576,405.7334,0.8013619,659.65436,471.21796,0.9482732,694.4849,463.54907,0.86841905,714.7701,571.53687,0.9265197,755.9117,564.67206,0.7689625,750.61017,673.1753,0.97579557,798.33344,649.0276,0.79583585,731.40924,647.3054,0.79781073,765.11066,640.0359,0.7637327,699.48816,815.777,0.9664687,726.2579,814.6433,0.92738295,715.7359,973.49023,0.9024867,725.93256,966.5138,0.903522
581.03735,437.16504,0.9764319,586.90955,422.4077,0.97592247,582.4193,423.70917,0.9036312,618.72314,426.40118,0.9747329,635.22034,424.56665,0.70350707,652.69165,487.24518,0.92248714,686.9147,475.03662,0.86396515,739.0266,563.4494,0.8971584,780.01697,544.50806,0.9216336,811.3518,637.42993,0.92632794,852.96216,607.12714,0.9068699,741.5503,655.7842,0.82507306,770.6233,651.29236,0.73030937,690.75085,810.6135,0.97781307,718.26904,811.63354,0.9345887,714.45886,973.0635,0.880643,723.7085,964.6781,0.91319
570.54285,459.12595,0.97889733,577.19763,446.16312,0.97343606,573.39417,446.67264,0.8985213,608.7239,451.96982,0.9980786,623.3021,450.4924,0.69421554,643.8109,507.3268,0.8876846,680.3452,491.83823,0.8416787,748.9513,548.3779,0.9284407,779.17554,528.3976,0.857395,850.5614,577.53455,0.92239964,873.5624,557.1349,0.9298606,750.333,662.99634,0.88265693,783.52734,656.5742,0.7690337,685.81104,811.8043,0.9531239,718.95154,815.8535,0.917663,715.5718,967.55786,0.91353035,725.38696,962.3828,0.9415397
565.16754,483.98514,0.9642569,572.3261,470.76596,0.9702903,568.01337,471.03555,0.8733487,604.1738,478.26974,0.9810053,617.66766,475.01816,0.6945574,643.14636,531.126,0.90380573,670.6458,510.57535,0.8278307,757.66766,537.42664,0.9002217,772.27057,516.625,0.8349126,863.7614,525.999,0.9522453,870.6265,514.1317,0.91949534,759.48517,673.2932,0.81360734,788.5462,666.3839,0.73745036,682.18353,815.8341,0.9637712,710.404,820.5497,0.90773225,714.9792,968.69995,0.9350765,725.0183,963.06946,0.9368423
563.9584,511.72568,0.97312534,570.908,498.17477,0.9403574,566.00775,498.57077,0.8749872,602.2252,505.2164,1.011033,611.57477,502.62436,0.670898,643.3701,548.355,0.9023179,651.63727,545.3622,0.7392101,752.79626,520.0376,0.93327737,758.5393,524.5028,0.57776815,852.7097,484.52347,0.9258574,850.06226,493.8757,0.47856486,768.89966,681.27075,0.8357744,791.8252,678.24475,0.69004446,677.8351,820.23816,0.9659042,711.3049,825.0746,0.8903205,716.21375,970.3634,0.93168294,723.6363,965.1157,0.90753233
